Categoria,Medio,Fecha,Titulo,Resumen,ComentarioReaccion,TonoSentimiento
Generacion Z,Twitter,2022-05-01,Opinión sobre la crisis generacional,La presión por ser productivo todo el tiempo está ...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.,5
Generacion Z,Twitter,2024-03-21,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.,5
Generacion Z,Twitter,2022-12-21,Opinión sobre la crisis generacional,Cada vez que una app me recomienda qué ver o qué c...,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección.",5
Generacion Z,Twitter,2022-09-04,Opinión sobre la crisis generacional,Todo se mueve tan rápido que incluso los recuerdos...,Todo se mueve tan rápido que incluso los recuerdos parecen caducar. La cultura de lo efímero borra cualquier intento de construir algo que perdure.,5
Generacion Z,Twitter,2022-01-15,Opinión sobre la crisis generacional,¿Seguimos siendo sujetos libres si los algoritmos ...,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,1
Generacion Z,TikTok,2022-08-04,Opinión sobre la crisis generacional,Estamos tan acostumbrados a la recompensa instantá...,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.,1
Generacion Z,TikTok,2022-06-08,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.,10
Generacion Z,Reforma,2023-06-25,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok.,10
Generacion Z,Reforma,2023-03-07,Opinión sobre la crisis generacional,Estamos tan acostumbrados a la recompensa instantá...,Estamos tan acostumbrados a la recompensa instantánea que cualquier proyecto que requiera paciencia nos parece imposible.,10
Generacion Z,Twitter,2023-03-29,Opinión sobre la crisis generacional,El ruido constante de las redes sociales hace difí...,El ruido constante de las redes sociales hace difícil encontrar silencio interior. ¿Cómo pensar profundamente en medio de tantas distracciones?,1
Generacion Z,El País,2022-06-29,Opinión sobre la crisis generacional,¿Seguimos siendo sujetos libres si los algoritmos ...,¿Seguimos siendo sujetos libres si los algoritmos determinan qué contenido vemos y qué contenido nunca nos aparece?,5
Generacion Z,YouTube,2022-02-20,Opinión sobre la crisis generacional,Cada vez que una app me recomienda qué ver o qué c...,"Cada vez que una app me recomienda qué ver o qué comprar, siento que renuncio un poco más a mi libertad de elección.",10
Generacion Z,TikTok,2022-08-14,Opinión sobre la crisis generacional,Antes los proyectos de vida eran a largo plazo; ho...,"Antes los proyectos de vida eran a largo plazo; hoy parece que nuestra identidad cambia tan rápido como las tendencias en TikTok. Muchos jóvenes sienten que el futuro es incierto, no por falta de oportunidades, sino por exceso de opciones que terminan paralizando.",5
Generacion Z,Reforma,2024-02-06,Opinión sobre la crisis generacional,La presión por ser productivo todo el tiempo está ...,La presión por ser productivo todo el tiempo está quemando a una generación entera. No todo en la vida debe ser rendimiento.,5
Generacion Z,Twitter,2023-05-24,Opinión sobre la crisis generacional,A veces siento que la presión de mostrar una vida ...,"A veces siento que la presión de mostrar una vida perfecta en redes sociales nos roba la oportunidad de ser auténticos. La Generación Z vive entre expectativas irreales y una búsqueda constante de validación. La cultura actual parece obsesionada con lo nuevo y lo inmediato, dejando poco espacio para la reflexión o el compromiso duradero.",5
Generacion Z,Twitter,2023-04-15,Opinión sobre la crisis generacional,La Generación Z enfrenta un dilema existencial: qu...,"La Generación Z enfrenta un dilema existencial: querer cambiar el mundo, pero estar atrapada en dinámicas de inmediatez y consumo constante.",1
